event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
YEM100307,2025-05-28,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Military Forces of Israel (2022-),,External/Other forces,,,,External/Other forces only,,887,Middle East,Yemen,Amanat al Asimah,Bani Al Harith,,Sanaa - Sanaa International Airport,15.4763,44.2197,1,2 December News; Al Arabiya; Al Harf 28; Al Masdar; Al Mashhad Al Yemeni - Pro-IRG; Al Masirah; Ansar Allah; Basha Report; Hadramawt 21; Mareb Press; Nukhba Hadramawt; Twitter; UN Panel of Experts; Undisclosed Source; Yemen News Agency (SABA) - Houthi; Yemen Window,Local partner-Other,"On 28 May 2025, Israeli fighter jets conducted 4 strikes targeting the runway at the Sanaa - Sanaa International Airport (Bani Al Harith, Amanat al Asimah). The strikes destroyed the last remaining civilian aircraft, belonging to Yemenia Airways, in Houthi custody. Three other Yemenia planes were previously destroyed in the 6 May Israeli attack (coded separately). There were no casualties.",0,,1768260976
YEM100490,2025-05-28,2025,1,Demonstrations,Protests,Peaceful protest,Protesters (Yemen),Ahfad Bilal Tribal Group (Yemen); Al Azzan Tribal Group (Yemen); Government of Yemen (2017-) Houthi,Protesters,,,,Protesters only,,887,Middle East,Yemen,Al Bayda,Al Arsh,,Milah,14.4162,44.7862,2,Ansar Allah; Yemen News Agency (SABA) - Houthi,National,"On 28 May 2025, tribesmen from the Al Azzan and Ahfad Belal tribes held Houthi-sponsored protest stands in Al Arsh district (coded to district center Milah), Radaa City (Rada) and Mushayrif Al Qayfa (coded to Al Qayfa) (Wald Rabi) (Al Bayda) in solidarity with the Palestinian people, denouncing the Israeli airstrikes against Sanaa airport and other civilian infrastructure, and in support of Houthi actions against the ''Zionist enemy'' in the context of the latest round of violence in Israel-Palestine. Houthi-affiliated political officials took part in the protests.",0,crowd size=no report,1764045690
YEM100491,2025-05-28,2025,1,Demonstrations,Protests,Peaceful protest,Protesters (Yemen),Ahfad Bilal Tribal Group (Yemen); Al Azzan Tribal Group (Yemen); Government of Yemen (2017-) Houthi,Protesters,,,,Protesters only,,887,Middle East,Yemen,Al Bayda,Rada,,Radaa,14.4151,44.8371,1,Ansar Allah; Yemen News Agency (SABA) - Houthi,National,"On 28 May 2025, tribesmen from the Al Azzan and Ahfad Belal tribes held Houthi-sponsored protest stands in Al Arsh district (coded to district center Milah), Radaa City (Rada) and Mushayrif Al Qayfa (coded to Al Qayfa) (Wald Rabi) (Al Bayda) in solidarity with the Palestinian people, denouncing the Israeli airstrikes against Sanaa airport and other civilian infrastructure, and in support of Houthi actions against the ''Zionist enemy'' in the context of the latest round of violence in Israel-Palestine. Houthi-affiliated political officials took part in the protests.",0,crowd size=no report,1764045690
YEM100492,2025-05-28,2025,1,Demonstrations,Protests,Peaceful protest,Protesters (Yemen),Ahfad Bilal Tribal Group (Yemen); Al Azzan Tribal Group (Yemen); Government of Yemen (2017-) Houthi,Protesters,,,,Protesters only,,887,Middle East,Yemen,Al Bayda,Wald Rabi,,Al Qayfa,14.5322,44.8228,2,Ansar Allah; Yemen News Agency (SABA) - Houthi,National,"On 28 May 2025, tribesmen from the Al Azzan and Ahfad Belal tribes held Houthi-sponsored protest stands in Al Arsh district (coded to district center Milah), Radaa City (Rada) and Mushayrif Al Qayfa (coded to Al Qayfa) (Wald Rabi) (Al Bayda) in solidarity with the Palestinian people, denouncing the Israeli airstrikes against Sanaa airport and other civilian infrastructure, and in support of Houthi actions against the ''Zionist enemy'' in the context of the latest round of violence in Israel-Palestine. Houthi-affiliated political officials took part in the protests.",0,crowd size=no report,1764045690
YEM100591,2025-05-28,2025,1,Political violence,Explosions/Remote violence,Air/drone strike,Unidentified Military Forces,,External/Other forces,,,,External/Other forces only,,887,Middle East,Yemen,Shabwah,Ain,,Al Hajab,14.8519,45.5290,2,Twitter,New media,"On 28 May 2025, a drone of unknown origin (likely either IRG or Houthi) targeted Al Adad area in Ain district (coded to district center Al Hajab) (Shabwah). Casualties unknown.",0,,1754958755
YEM100616,2025-05-28,2025,2,Political violence,Violence against civilians,Abduction/forced disappearance,Military Forces of Yemen (2017-) Houthi,,State forces,Civilians (Yemen),Students (Yemen),Civilians,State forces-Civilians,Civilian targeting,887,Middle East,Yemen,Al Hudaydah,,,Al Hudaydah,14.7978,42.9545,1,Abductees Mothers Association; Al Sahil Al Gharbi; Mareb Press,Other-Subnational,"Around 28 May 2025 (as reported), Houthi forces abducted at least 7 civilians, including a university student, in Al Hudaydah governorate (coded to governorate capital Al Hudaydah), and took them to an unknown destination. The reason for these abductions is unknown. The Houthis also abducted 6 members of the press earlier that week (coded separately).",0,,1754411473
YEM100315,2025-05-28,2025,1,Political violence; Demonstrations,Protests,Excessive force against protesters,Protesters (Yemen),Labor Group (Yemen),Protesters,Police Forces of Yemen (2017-) Houthi,,State forces,State forces-Protesters,Civilian targeting,887,Middle East,Yemen,Sanaa,Sanhan,,Sayyan,15.1721,44.3295,1,Al Sahil Al Gharbi; Khabar News Agency (Yemen); Undisclosed Source; Yemen Window,Local partner-Other,"On 28 May 2025, dozens of qat vendors and suppliers from Al Hada District in Dhamar held a protest stand at a Houthi-run tax checkpoint in Sayyan (Sanhan, Sanaa) against what they described as 'coercive extortion' by Houthi forces at the entrance to Sanaa. Houthi forces opened fire at the protesters and physically assaulted them, injuring several protesters. There were no fatalities. Houthi forces also arrested around 27 person who participated in the protest and took them to detention centers.",0,crowd size=dozens,1754354946
YEM100563,2025-05-28,2025,1,Political violence,Violence against civilians,Attack,Unidentified Armed Group (Yemen),,Political militia,Civilians (Yemen),Labor Group (Yemen),Civilians,Political militia-Civilians,Civilian targeting,887,Middle East,Yemen,Taizz,Al Qahirah,,Taizz - Usayfarah,13.5968,44.0126,1,2 December News; Undisclosed Source; Yemen Window,Local partner-Other,"On 28 May 2025, unknown gunmen attacked the house of a local businessman (in front of the house, according to one source) in Taizz - Usayfarah (Al Qahirah, Taizz) and assaulted the businessman's son, chasing him through the street and onto the roof of a nearby house, where they beat him severely with rifle butts and stones. The victim sustained serious injuries across his body, including broken legs. The reason behind the attack was not reported, but one source claimed that the attackers were affiliated with the Al Islah Party and that the attack was likely a premeditated assassination attempt. There were no fatalities.",0,,1762291988
YEM104514,2025-05-28,2025,1,Strategic developments,Strategic developments,Change to group/activity,Military Forces of Yemen (2017-) Houthi,,State forces,,,,State forces only,,887,Middle East,Yemen,Abyan,Lawdar,,Aqabat Thirah,13.8874,45.7740,2,Undisclosed Source,Local partner-Other,"Security measures: On 28 May 2025, Houthi forces established military fortifications in the Al Awda area (coded to Aqabat Thirah) and along the Al Kur mountains (Lawdar, Abyan).",0,,1752545221
YEM104510,2025-05-28,2025,1,Political violence,Battles,Armed clash,Military Forces of Yemen (2017-) Houthi,,State forces,Military Forces of Yemen (2022-2026) Presidential Leadership Council - STC Support and Reinforcement Brigades,Military Forces of Yemen (2022-2026) Presidential Leadership Council - STC; Military Forces of Yemen (2022-2026) Presidential Leadership Council - STC Saiqa Brigades; Southern Resistance,State forces,State forces-State forces,,887,Middle East,Yemen,Ad Dali,Ad Dhalee,,Al Masharih,13.7892,44.5698,2,Undisclosed Source,Local partner-Other,"On 28 May 2025, Houthi forces clashed with STC 7th Support and Reinforcement Brigade, 3rd and 5th Southern Resistance Brigades, 1st STC Saiqa Brigade, and the STC 2nd Infantry Brigade (coded as STC generic forces) in the Hajar front in Ad Dhalee district (coded to Al Masharih) (Ad Dali). The clash resulted in the injury of 3 Houthi fighters and the injury of 1 pro-IRG soldiers.",0,,1770676302
