event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp
YEM78120,2023-01-03,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Operation Restoring Hope,,External/Other forces,Civilians (Yemen),,Civilians,External/Other forces-Civilians,Civilian targeting,887,Middle East,Yemen,Al Hudaydah,At Tuhayat,,Al Jabaliyah,14.0725,43.1589,1,Ansar Allah; Undisclosed Source; YEMAC (Yemen Mine Action); Yemen Data Project,Local partner-Other,"On 3 January 2023, a cluster bomb from previous presumed Saudi-led coalition activity exploded in Al Jabaliyah (At Tuhayat, Al Hudaydah) killing 1 12-year-old boy who was walking through a farm in the area.",1,,1765234861
YEM78258,2023-01-10,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,External/Other forces,Civilians (Yemen),,Civilians,External/Other forces-Civilians,Civilian targeting,887,Middle East,Yemen,Sanaa,Nihm,,Iyal Mohammed,15.7471,44.5210,1,Ansar Allah; Khabar News Agency (Yemen); Undisclosed Source; Yemen Data Project,Local partner-Other,"On 10 January 2023, an explosive ordnance from previous unidentified military activity detonated in Iyal Mohammed (Nihm, Sanaa), killing 2 brothers, aged 14 and 15, while they were tending sheep in the area. 1 other civilian was also injured. Sources differed as to the origin of the mine (Houthi or anti-Houthi).",2,,1765234861
YEM78341,2023-01-14,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Yemen),Abductees' Mothers Association; Women (Yemen),Protesters,,,,Protesters only,,887,Middle East,Yemen,Marib,Marib City,,Marib,15.4610,45.3253,1,Abductees Mothers Association; Al Masdar,Other-National,"On 14 January 2023, women from the Abductees Mothers Association held a protest in Marib city (Marib City, Marib) to denounce the execution order issues by a Houthi specialized criminal court against 7 individuals from Sadah governorate.",0,crowd size=no report,1763426500
YEM78408,2023-01-18,2023,1,Demonstrations,Protests,Peaceful protest,Protesters (Yemen),,Protesters,,,,Protesters only,,887,Middle East,Yemen,Marib,Marib City,,Marib,15.4610,45.3253,1,Al Masdar; Mareb Press,Subnational-National,"On 18 January 2023, dozens of families from Marib held a protest in the city (Marib) to denounce the greed of landlords who are forcing people out of their homes and the ruling of the judiciary in favor of the landlords. They also called on local authorities to set a limit to the rise of houses' rents.",0,crowd size=dozens,1763426500
YEM78809,2023-01-29,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,External/Other forces,Civilians (Yemen),Farmers (Yemen),Civilians,External/Other forces-Civilians,Civilian targeting,887,Middle East,Yemen,Al Hudaydah,At Tuhayat,,At Tuhayta,14.1836,43.2264,2,Ansar Allah; Khabar News Agency (Yemen); Undisclosed Source; Yemen Data Project,Local partner-Other,"On 29 January 2023, a landmine from unidentified previous military activity exploded in the village of Al Jalla in At Tuhayat district (coded to district center At Tuhayta) (Al Hudaydah) injuring 1 farmer and damaging his bulldozer. Some sources reported that the man was killed instead. Fatalities coded as 0 following the most conservative estimate. Sources differed as to the origin of the mine (Houthi or anti-Houthi).",0,,1765234861
YEM78820,2023-02-02,2023,2,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,External/Other forces,Civilians (Yemen),Farmers (Yemen),Civilians,External/Other forces-Civilians,Civilian targeting,887,Middle East,Yemen,Al Hudaydah,At Tuhayat,,At Tuhayta,14.1836,43.2264,2,YEMAC (Yemen Mine Action); Yemen Data Project,Local partner-National,"Around 2 February 2023 (between 2 - 3 February), a landmine leftover from previous unidentified military activity exploded in At Tuhayat district (coded to At Tuhayta) (Al Hudaydah) injuring 1 farmer.",0,,1754411473
YEM78871,2023-02-05,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Operation Restoring Hope,,External/Other forces,Civilians (Yemen),Farmers (Yemen),Civilians,External/Other forces-Civilians,Civilian targeting,887,Middle East,Yemen,Al Hudaydah,At Tuhayat,,At Tuhayta,14.1836,43.2264,2,Ansar Allah; Yemen Data Project,Local partner-National,"On 5 February 2023, a bomb leftover from previous presumed anti-Houthi activity (coded as Saudi-led coalition) exploded in At Tuhayat district (coded to At Tuhayta) (Al Hudaydah) injuring 1 farmer.",0,,1754411473
YEM78953,2023-02-09,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Operation Restoring Hope,,External/Other forces,Civilians (Yemen),Farmers (Yemen),Civilians,External/Other forces-Civilians,Civilian targeting,887,Middle East,Yemen,Marib,Rahabah,,Rahabah al Kawlah,14.8957,44.9892,2,Ansar Allah; YEMAC (Yemen Mine Action); Yemen Data Project,Local partner-National,"On 9 February 2023, a cluster bomb from previous presumed Saudi-led coalition activity exploded in Rahabah district (coded to Rahabah al Kawlah) (Marib) killing 1 child who was grazing sheep.",1,,1754411473
YEM79053,2023-02-14,2023,2,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,External/Other forces,Civilians (Yemen),,Civilians,External/Other forces-Civilians,Civilian targeting,887,Middle East,Yemen,Marib,Rahabah,,Rahabah al Kawlah,14.8957,44.9892,2,Khabar News Agency (Yemen); YEMAC (Yemen Mine Action); Yemen Data Project,Local partner-National,"Around 14 February 2023 (between 13 - 15 February), a shell leftover from previous unidentified military activity exploded in Rahabah district (coded to Rahabah al Kawlah) (Marib) killing 1 child.",1,,1754411473
YEM79138,2023-02-19,2023,1,Political violence,Explosions/Remote violence,Remote explosive/landmine/IED,Unidentified Military Forces,,External/Other forces,Civilians (Yemen),,Civilians,External/Other forces-Civilians,Civilian targeting,887,Middle East,Yemen,Marib,Sirwah,,Suq Sirwah,15.4493,45.0189,2,Ansar Allah; Undisclosed Source; Yemen Data Project,Local partner-Other,"On 19 February 2023, fragments of a cluster bomb leftover from previous unidentified military activity exploded in al Masnaa area in Sirwah district (coded to district center Suq Sirwah) (Marib) killing 1 civilian.",1,,1765234861
