date,year,month,day,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity
2023-10-01,2023,10,1,chokepoint1,Suez Canal,22,28,1,7,24,58,82,897458,1452405,3035,33419,989832,2386318,3376150
2023-10-01,2023,10,1,chokepoint4,Bab el-Mandeb Strait,19,23,5,6,29,53,82,1092222,1136726,46986,22818,1432293,2298754,3731048
2023-10-01,2023,10,1,chokepoint7,Cape of Good Hope,9,35,2,2,14,48,62,263093,2912036,38705,10264,1255810,3224100,4479911
2023-10-02,2023,10,2,chokepoint1,Suez Canal,23,16,5,5,21,49,70,1262821,828060,18839,19041,1160463,2128762,3289225
2023-10-02,2023,10,2,chokepoint4,Bab el-Mandeb Strait,15,20,4,3,30,42,72,682407,987070,60539,8791,1628642,1738809,3367451
2023-10-02,2023,10,2,chokepoint7,Cape of Good Hope,9,43,3,2,10,57,67,228314,2543811,57470,3476,598082,2833072,3431155
2023-10-03,2023,10,3,chokepoint1,Suez Canal,19,23,2,2,18,46,64,1171929,1531783,19118,9854,890725,2732685,3623410
2023-10-03,2023,10,3,chokepoint4,Bab el-Mandeb Strait,25,17,4,4,27,50,77,1433286,774697,69323,15862,993272,2293168,3286441
2023-10-03,2023,10,3,chokepoint7,Cape of Good Hope,6,40,1,2,12,49,61,234922,2709002,7126,0,591253,2951050,3542304
2023-10-04,2023,10,4,chokepoint1,Suez Canal,13,22,7,1,20,43,63,838646,638185,24959,3902,1067058,1505693,2572751
2023-10-04,2023,10,4,chokepoint4,Bab el-Mandeb Strait,16,22,5,8,23,51,74,617975,1293949,75335,29745,1252450,2017006,3269456
2023-10-04,2023,10,4,chokepoint7,Cape of Good Hope,8,34,2,1,7,45,52,227271,2201367,52349,2504,925450,2483493,3408943
2023-10-05,2023,10,5,chokepoint1,Suez Canal,30,17,6,2,27,55,82,1594786,803691,24611,12147,1689595,2435237,4124833
2023-10-05,2023,10,5,chokepoint4,Bab el-Mandeb Strait,19,25,8,3,25,55,80,1024370,1481703,43523,21228,1445677,2570826,4016504
2023-10-05,2023,10,5,chokepoint7,Cape of Good Hope,7,33,3,1,5,44,49,159964,2551717,26619,3401,450039,2741703,3191743
2023-10-06,2023,10,6,chokepoint1,Suez Canal,22,13,8,1,31,44,75,1395413,633316,39975,7492,1130117,2076197,3206315
2023-10-06,2023,10,6,chokepoint4,Bab el-Mandeb Strait,33,22,2,6,26,63,89,1649992,1019014,1408,13079,1458353,2683495,4141849
2023-10-06,2023,10,6,chokepoint7,Cape of Good Hope,1,23,1,3,8,28,36,64282,1865838,35188,7731,904116,1973040,2877157
2023-10-07,2023,10,7,chokepoint1,Suez Canal,20,26,7,1,22,54,76,1184724,1597874,21146,6195,1056972,2809940,3866913
2023-10-07,2023,10,7,chokepoint4,Bab el-Mandeb Strait,19,25,4,4,26,52,78,1163234,1353161,4862,20302,807965,2541560,3349526
2023-10-07,2023,10,7,chokepoint7,Cape of Good Hope,4,27,3,0,7,34,41,98813,1605663,62760,0,55008,1767237,1822246
2023-10-08,2023,10,8,chokepoint1,Suez Canal,21,30,8,4,28,63,91,795219,1479134,19813,19961,1526112,2314129,3840242
2023-10-08,2023,10,8,chokepoint4,Bab el-Mandeb Strait,17,23,4,2,25,46,71,1011404,1063335,28450,12907,1377022,2116097,3493120
2023-10-08,2023,10,8,chokepoint7,Cape of Good Hope,4,31,3,0,9,38,47,187931,2487806,22129,0,268648,2697868,2966516
2023-10-09,2023,10,9,chokepoint1,Suez Canal,20,20,8,6,29,54,83,1223905,850769,35441,28561,968920,2138678,3107599
2023-10-09,2023,10,9,chokepoint4,Bab el-Mandeb Strait,19,15,9,5,23,48,71,872540,650271,72163,21213,1465573,1616188,3081762
2023-10-09,2023,10,9,chokepoint7,Cape of Good Hope,7,28,1,0,16,36,52,214937,1968290,2934,0,1012770,2186162,3198932
2023-10-10,2023,10,10,chokepoint1,Suez Canal,20,20,9,2,26,51,77,1163172,1240084,75700,13818,1566312,2492776,4059088
2023-10-10,2023,10,10,chokepoint4,Bab el-Mandeb Strait,19,15,8,1,30,43,73,1185438,660093,60461,4896,1215384,1910889,3126273
2023-10-10,2023,10,10,chokepoint7,Cape of Good Hope,8,22,3,1,10,34,44,225721,1717192,64028,0,784737,2006942,2791680
2023-10-11,2023,10,11,chokepoint1,Suez Canal,23,16,4,2,27,45,72,1118822,515394,9024,7547,1083894,1650788,2734683
2023-10-11,2023,10,11,chokepoint4,Bab el-Mandeb Strait,19,23,7,4,31,53,84,976777,1092901,32907,13235,1232774,2115822,3348596
2023-10-11,2023,10,11,chokepoint7,Cape of Good Hope,2,32,3,1,11,38,49,43349,3424795,59751,4988,926009,3532884,4458893
2023-10-12,2023,10,12,chokepoint1,Suez Canal,17,21,9,5,27,52,79,1159611,1235492,50472,19160,1451621,2464737,3916359
2023-10-12,2023,10,12,chokepoint4,Bab el-Mandeb Strait,25,19,13,4,19,61,80,1529061,1209990,75834,22096,642773,2836983,3479756
2023-10-12,2023,10,12,chokepoint7,Cape of Good Hope,7,37,2,1,10,47,57,184530,3696085,46148,2564,689289,3929328,4618618
2023-10-13,2023,10,13,chokepoint1,Suez Canal,27,20,5,5,23,57,80,1351624,570412,19618,20309,986061,1961965,2948026
2023-10-13,2023,10,13,chokepoint4,Bab el-Mandeb Strait,17,24,4,6,27,51,78,897267,1136326,20806,9884,1303217,2064285,3367503
2023-10-13,2023,10,13,chokepoint7,Cape of Good Hope,6,41,3,0,13,50,63,98878,3637624,16832,0,1187135,3753335,4940471
2023-10-14,2023,10,14,chokepoint1,Suez Canal,20,22,10,1,28,53,81,1182220,1111775,46680,8397,1772613,2349073,4121686
2023-10-14,2023,10,14,chokepoint4,Bab el-Mandeb Strait,23,25,9,1,29,58,87,1608980,1449394,91627,0,1680762,3150002,4830764
2023-10-14,2023,10,14,chokepoint7,Cape of Good Hope,10,24,3,0,14,37,51,408876,1661939,10431,0,583358,2081247,2664606
2023-10-15,2023,10,15,chokepoint1,Suez Canal,25,13,6,4,32,48,80,1408582,751437,17600,15034,1111986,2192654,3304640
2023-10-15,2023,10,15,chokepoint4,Bab el-Mandeb Strait,20,28,6,6,17,60,77,957441,1439851,19997,28841,1232517,2446133,3678650
2023-10-15,2023,10,15,chokepoint7,Cape of Good Hope,7,18,1,1,12,27,39,236349,1077029,262,6352,1412155,1319994,2732149
2023-10-16,2023,10,16,chokepoint1,Suez Canal,21,26,9,3,26,59,85,1159319,1353525,43553,13265,1328169,2569663,3897833
