date,suez_n_container,suez_n_dry_bulk,suez_n_general_cargo,suez_n_roro,suez_n_tanker,suez_n_cargo,suez_n_total,suez_capacity_container,suez_capacity_dry_bulk,suez_capacity_general_cargo,suez_capacity_roro,suez_capacity_tanker,suez_capacity_cargo,suez_capacity,bab_el_mandeb_n_container,bab_el_mandeb_n_dry_bulk,bab_el_mandeb_n_general_cargo,bab_el_mandeb_n_roro,bab_el_mandeb_n_tanker,bab_el_mandeb_n_cargo,bab_el_mandeb_n_total,bab_el_mandeb_capacity_container,bab_el_mandeb_capacity_dry_bulk,bab_el_mandeb_capacity_general_cargo,bab_el_mandeb_capacity_roro,bab_el_mandeb_capacity_tanker,bab_el_mandeb_capacity_cargo,bab_el_mandeb_capacity,cape_good_hope_n_container,cape_good_hope_n_dry_bulk,cape_good_hope_n_general_cargo,cape_good_hope_n_roro,cape_good_hope_n_tanker,cape_good_hope_n_cargo,cape_good_hope_n_total,cape_good_hope_capacity_container,cape_good_hope_capacity_dry_bulk,cape_good_hope_capacity_general_cargo,cape_good_hope_capacity_roro,cape_good_hope_capacity_tanker,cape_good_hope_capacity_cargo,cape_good_hope_capacity
2023-10-01,22.0,28.0,1.0,7.0,24.0,58.0,82.0,897458.0,1452405.0,3035.0,33419.0,989832.0,2386318.0,3376150.0,19.0,23.0,5.0,6.0,29.0,53.0,82.0,1092222.0,1136726.0,46986.0,22818.0,1432293.0,2298754.0,3731048.0,9.0,35.0,2.0,2.0,14.0,48.0,62.0,263093.0,2912036.0,38705.0,10264.0,1255810.0,3224100.0,4479911.0
2023-10-02,23.0,16.0,5.0,5.0,21.0,49.0,70.0,1262821.0,828060.0,18839.0,19041.0,1160463.0,2128762.0,3289225.0,15.0,20.0,4.0,3.0,30.0,42.0,72.0,682407.0,987070.0,60539.0,8791.0,1628642.0,1738809.0,3367451.0,9.0,43.0,3.0,2.0,10.0,57.0,67.0,228314.0,2543811.0,57470.0,3476.0,598082.0,2833072.0,3431155.0
2023-10-03,19.0,23.0,2.0,2.0,18.0,46.0,64.0,1171929.0,1531783.0,19118.0,9854.0,890725.0,2732685.0,3623410.0,25.0,17.0,4.0,4.0,27.0,50.0,77.0,1433286.0,774697.0,69323.0,15862.0,993272.0,2293168.0,3286441.0,6.0,40.0,1.0,2.0,12.0,49.0,61.0,234922.0,2709002.0,7126.0,0.0,591253.0,2951050.0,3542304.0
2023-10-04,13.0,22.0,7.0,1.0,20.0,43.0,63.0,838646.0,638185.0,24959.0,3902.0,1067058.0,1505693.0,2572751.0,16.0,22.0,5.0,8.0,23.0,51.0,74.0,617975.0,1293949.0,75335.0,29745.0,1252450.0,2017006.0,3269456.0,8.0,34.0,2.0,1.0,7.0,45.0,52.0,227271.0,2201367.0,52349.0,2504.0,925450.0,2483493.0,3408943.0
2023-10-05,30.0,17.0,6.0,2.0,27.0,55.0,82.0,1594786.0,803691.0,24611.0,12147.0,1689595.0,2435237.0,4124833.0,19.0,25.0,8.0,3.0,25.0,55.0,80.0,1024370.0,1481703.0,43523.0,21228.0,1445677.0,2570826.0,4016504.0,7.0,33.0,3.0,1.0,5.0,44.0,49.0,159964.0,2551717.0,26619.0,3401.0,450039.0,2741703.0,3191743.0
2023-10-06,22.0,13.0,8.0,1.0,31.0,44.0,75.0,1395413.0,633316.0,39975.0,7492.0,1130117.0,2076197.0,3206315.0,33.0,22.0,2.0,6.0,26.0,63.0,89.0,1649992.0,1019014.0,1408.0,13079.0,1458353.0,2683495.0,4141849.0,1.0,23.0,1.0,3.0,8.0,28.0,36.0,64282.0,1865838.0,35188.0,7731.0,904116.0,1973040.0,2877157.0
2023-10-07,20.0,26.0,7.0,1.0,22.0,54.0,76.0,1184724.0,1597874.0,21146.0,6195.0,1056972.0,2809940.0,3866913.0,19.0,25.0,4.0,4.0,26.0,52.0,78.0,1163234.0,1353161.0,4862.0,20302.0,807965.0,2541560.0,3349526.0,4.0,27.0,3.0,0.0,7.0,34.0,41.0,98813.0,1605663.0,62760.0,0.0,55008.0,1767237.0,1822246.0
2023-10-08,21.0,30.0,8.0,4.0,28.0,63.0,91.0,795219.0,1479134.0,19813.0,19961.0,1526112.0,2314129.0,3840242.0,17.0,23.0,4.0,2.0,25.0,46.0,71.0,1011404.0,1063335.0,28450.0,12907.0,1377022.0,2116097.0,3493120.0,4.0,31.0,3.0,0.0,9.0,38.0,47.0,187931.0,2487806.0,22129.0,0.0,268648.0,2697868.0,2966516.0
2023-10-09,20.0,20.0,8.0,6.0,29.0,54.0,83.0,1223905.0,850769.0,35441.0,28561.0,968920.0,2138678.0,3107599.0,19.0,15.0,9.0,5.0,23.0,48.0,71.0,872540.0,650271.0,72163.0,21213.0,1465573.0,1616188.0,3081762.0,7.0,28.0,1.0,0.0,16.0,36.0,52.0,214937.0,1968290.0,2934.0,0.0,1012770.0,2186162.0,3198932.0
2023-10-10,20.0,20.0,9.0,2.0,26.0,51.0,77.0,1163172.0,1240084.0,75700.0,13818.0,1566312.0,2492776.0,4059088.0,19.0,15.0,8.0,1.0,30.0,43.0,73.0,1185438.0,660093.0,60461.0,4896.0,1215384.0,1910889.0,3126273.0,8.0,22.0,3.0,1.0,10.0,34.0,44.0,225721.0,1717192.0,64028.0,0.0,784737.0,2006942.0,2791680.0
2023-10-11,23.0,16.0,4.0,2.0,27.0,45.0,72.0,1118822.0,515394.0,9024.0,7547.0,1083894.0,1650788.0,2734683.0,19.0,23.0,7.0,4.0,31.0,53.0,84.0,976777.0,1092901.0,32907.0,13235.0,1232774.0,2115822.0,3348596.0,2.0,32.0,3.0,1.0,11.0,38.0,49.0,43349.0,3424795.0,59751.0,4988.0,926009.0,3532884.0,4458893.0
